Operation,operation: instance,CreativeStrategy (Class),Transformative_Work,Transformative_Work_URI,Original_Work,Original_Work_URI,SourceElement,TargetElement,NarrativeElement (Class),Rationale_Annotation
1,Op_Water_Margin_to_Jin_Ping_Mei_PlotGrafting,Imitation,Jin Ping Mei,https://www.wikidata.org/wiki/Q753535,Water Margin,https://www.wikidata.org/wiki/Q70827,Wu_Song_Kills_Sister_in_law_Episode,Seed_Plot_of_Jin_Ping_Mei,EventSequence,"A single marginal episode of the source -- Wu Song's killing of his adulterous sister-in-law, in places quoted almost verbatim -- is extracted and reused as the seed plot from which the entire new novel is grown."
1,Op_Water_Margin_to_Jin_Ping_Mei_ContentDomainShift,Transformation,Jin Ping Mei,https://www.wikidata.org/wiki/Q753535,Water Margin,https://www.wikidata.org/wiki/Q70827,Chivalric_Heroism,Domestic_Desire_and_Manners,ContentDomain,"The content domain is transformed from chivalric heroism and outlaw violence into the everyday domestic world of desire, money, and social maneuvering -- the founding move of the Chinese novel of manners."
1,Op_Water_Margin_to_Jin_Ping_Mei_FocalizationShift,Transformation,Jin Ping Mei,https://www.wikidata.org/wiki/Q753535,Water Margin,https://www.wikidata.org/wiki/Q70827,Outlaw_Hero_Ensemble_Focal,Merchant_Household_Focal,Focalization,The narrative focus shifts from a rotating ensemble of outlaw heroes to the enclosed interior of a single merchant household.
1,Op_Water_Margin_to_Jin_Ping_Mei_PanJinLianReinterpretation,Transformation,Jin Ping Mei,https://www.wikidata.org/wiki/Q753535,Water Margin,https://www.wikidata.org/wiki/Q70827,Monotonic_Villain_Pan_Jin_Lian,Complex_Pan_Jin_Lian,CharacterFunction,"The flat villainess of the source is given psychological depth and her moral condemnation is suspended, transforming her narrative function from object of judgment to ambiguous subject."
1,Op_Water_Margin_to_Jin_Ping_Mei_CharacterInheritance,Inheritance,Jin Ping Mei,https://www.wikidata.org/wiki/Q753535,Water Margin,https://www.wikidata.org/wiki/Q70827,Core_Cast_Ximen_Pan_Wu,Core_Cast_Ximen_Pan_Wu,CharacterIdentity,"The core cast (Xi Men Qing, Pan Jin Lian, Wu Song) is inherited directly from the source; note that Wu Song, a protagonist there, is radically marginalized here."
2,Op_The_Twilight_Saga_to_Fifty_Shades_of_Grey_HeroArchetypeImitation,Imitation,Fifty Shades of Grey,https://www.wikidata.org/wiki/Q557867,The Twilight Saga,https://www.wikidata.org/wiki/Q652599,PowerfulDangerousHero_Vampire,PowerfulDangerousHero_Tycoon,CharacterFunction,"The dangerous-male-lead archetype is reused, but the source of danger is relocated from the supernatural (vampirism) to the psychological (childhood trauma); the 'darkness' is retained while its explanatory frame becomes realist."
2,Op_The_Twilight_Saga_to_Fifty_Shades_of_Grey_ContentDomainShift,Transformation,Fifty Shades of Grey,https://www.wikidata.org/wiki/Q557867,The Twilight Saga,https://www.wikidata.org/wiki/Q652599,Abstinent_Supernatural_Romance,Explicit_Eroticism,ContentDomain,The content domain is inverted: the source's abstinence theme becomes explicit eroticism as the central narrative material.
2,Op_The_Twilight_Saga_to_Fifty_Shades_of_Grey_PowerStructureInheritance,Inheritance,Fifty Shades of Grey,https://www.wikidata.org/wiki/Q557867,The Twilight Saga,https://www.wikidata.org/wiki/Q652599,Dominant_Male_Submissive_Female,Dominant_Male_Submissive_Female,RelationType,"The asymmetric dominant-male / submissive-female relational dynamic, together with the heroine's redeem-him-through-love arc, is inherited from the source."
3,Op_Canon_of_Sherlock_Holmes_to_Sherlock_SettingTransposition,Transformation,Sherlock,https://www.wikidata.org/wiki/Q192837,Canon of Sherlock Holmes,https://www.wikidata.org/wiki/Q2316684,Victorian_London,Contemporary_London,Chronotope,The historical era is replaced (Victorian becomes contemporary London) while the geographical setting is preserved.
3,Op_Canon_of_Sherlock_Holmes_to_Sherlock_CrossMediaTransformation,Transformation,Sherlock,https://www.wikidata.org/wiki/Q192837,Canon of Sherlock Holmes,https://www.wikidata.org/wiki/Q2316684,ShortStoryCollection,TV_Series,MediumType,"The short-story collection is recast as serialized television, expanding episodic cases into season-long arcs."
3,Op_Canon_of_Sherlock_Holmes_to_Sherlock_CharacterIntensification,Imitation,Sherlock,https://www.wikidata.org/wiki/Q192837,Canon of Sherlock Holmes,https://www.wikidata.org/wiki/Q2316684,Eccentric_Rationalist_Holmes,High_Functioning_Sociopath_Holmes,CharacterArc,"Holmes's baseline characterization is reused but intensified, reframing eccentric rationalism through a modern clinical idiom."
3,Op_Canon_of_Sherlock_Holmes_to_Sherlock_RelationshipInheritance,Inheritance,Sherlock,https://www.wikidata.org/wiki/Q192837,Canon of Sherlock Holmes,https://www.wikidata.org/wiki/Q2316684,Holmes_Watson_Bromance,Holmes_Watson_Bromance,RelationType,The Holmes-Watson friendship and cohabitation is inherited intact -- the point of contrast with Elementary's reconfiguration.
4,Op_Canon_of_Sherlock_Holmes_to_Elementary_WatsonReconception,Transformation,Elementary,https://www.wikidata.org/wiki/Q247643,Canon of Sherlock Holmes,https://www.wikidata.org/wiki/Q2316684,Male_Narrator_John_Watson,Female_Sober_Companion_Joan_Watson,CharacterFunction,"Elementary's central creative move: Watson is reconceived as Joan Watson, changing both gender and narrative function from male chronicler to sober companion."
4,Op_Canon_of_Sherlock_Holmes_to_Elementary_HolmesAddictionArc,Transformation,Elementary,https://www.wikidata.org/wiki/Q247643,Canon of Sherlock Holmes,https://www.wikidata.org/wiki/Q2316684,Occasional_Drug_Use_Detail,Recovering_Addict_Arc,CharacterArc,A minor canonical detail (Holmes's drug use) is amplified into the protagonist's defining arc as a recovering addict.
4,Op_Canon_of_Sherlock_Holmes_to_Elementary_SettingTransposition,Transformation,Elementary,https://www.wikidata.org/wiki/Q247643,Canon of Sherlock Holmes,https://www.wikidata.org/wiki/Q2316684,Victorian_London,Contemporary_New_York,Chronotope,Both era and place are replaced: Victorian London becomes contemporary New York City.
4,Op_Canon_of_Sherlock_Holmes_to_Elementary_DeductiveMethodImitation,Imitation,Elementary,https://www.wikidata.org/wiki/Q247643,Canon of Sherlock Holmes,https://www.wikidata.org/wiki/Q2316684,Observation_and_Deduction,Observation_and_Deduction,CharacterFunction,Holmes's signature method of observation and deduction is reused as the recognizable prototype of the protagonist's function.
4,Op_Canon_of_Sherlock_Holmes_to_Elementary_ConsultingRoleInheritance,Inheritance,Elementary,https://www.wikidata.org/wiki/Q247643,Canon of Sherlock Holmes,https://www.wikidata.org/wiki/Q2316684,Consulting_Detective_Assists_Police,Consulting_Detective_Assists_Police,RelationType,The structural relationship of the consulting detective assisting the official police is inherited from the source.
5,Op_Journey_to_the_West_to_A_Chinese_Odyssey_DestinySubversion,Transformation,A Chinese Odyssey,https://www.wikidata.org/wiki/Q868483,Journey to the West,https://www.wikidata.org/wiki/Q70784,Ascetic_Pilgrim_Destiny,Romantic_Mortal_Tragicomedy,CharacterArc,"The Monkey King's ascetic, predestined divinity is subverted into secular romantic love and a postmodern meditation on fate, recasting a religious pilgrimage as romantic tragicomedy."
5,Op_Journey_to_the_West_to_A_Chinese_Odyssey_PilgrimageFrameImitation,Imitation,A Chinese Odyssey,https://www.wikidata.org/wiki/Q868483,Journey to the West,https://www.wikidata.org/wiki/Q70784,Westward_Pilgrimage_Frame,Westward_Pilgrimage_Frame,EventSequence,The recognizable westward-pilgrimage premise is reused as the scaffold on which the new story is built.
5,Op_Journey_to_the_West_to_A_Chinese_Odyssey_CharacterInheritance,Inheritance,A Chinese Odyssey,https://www.wikidata.org/wiki/Q868483,Journey to the West,https://www.wikidata.org/wiki/Q70784,Sun_Wukong_and_Companions,Sun_Wukong_and_Companions,CharacterIdentity,"The iconic pilgrims, led by Sun Wukong, are inherited from the source."
6,Op_Record_of_the_Western_Regions_to_Journey_to_the_West_WorldRulesTransformation,Transformation,Journey to the West,https://www.wikidata.org/wiki/Q70784,Record of the Western Regions,https://www.wikidata.org/wiki/Q1146069,Factual_Travelogue_World,Gods_and_Demons_Cosmos,WorldRules,"A factual geographic travelogue is transformed into a supernatural cosmos of gods and demons fusing Confucian, Buddhist, and Daoist thought."
6,Op_Record_of_the_Western_Regions_to_Journey_to_the_West_HistoricalSettingInheritance,Inheritance,Journey to the West,https://www.wikidata.org/wiki/Q70784,Record of the Western Regions,https://www.wikidata.org/wiki/Q1146069,Xuanzang_Pilgrimage_Route_and_Era,Xuanzang_Pilgrimage_Route_and_Era,Chronotope,"The historical journey of Xuanzang to obtain scriptures -- its route, destination, and Tang-era spatio-temporal frame -- is inherited from the record."
6,Op_Record_of_the_Western_Regions_to_Journey_to_the_West_MonkImitation,Imitation,Journey to the West,https://www.wikidata.org/wiki/Q70784,Record of the Western Regions,https://www.wikidata.org/wiki/Q1146069,Historical_Monk_Xuanzang,Fictional_Pilgrim_Tang_Sanzang,CharacterIdentity,The historical monk Xuanzang is reused as the prototype for the fictional pilgrim Tang Sanzang.
7,Op_Ghost_Blows_Out_the_Light_to_Daomu_Biji_TombRaiderImitation,Imitation,Daomu Biji,https://www.wikidata.org/wiki/Q4861172,Ghost Blows Out the Light,https://www.wikidata.org/wiki/Q5557059,Tomb_Raider_Protagonist_Archetype,Tomb_Raider_Protagonist_Archetype,CharacterFunction,"Having begun as a derivative tribute to its predecessor, it reuses the tomb-raider protagonist archetype as the prototype for its own cast."
7,Op_Ghost_Blows_Out_the_Light_to_Daomu_Biji_WorldRulesInheritance,Inheritance,Daomu Biji,https://www.wikidata.org/wiki/Q4861172,Ghost Blows Out the Light,https://www.wikidata.org/wiki/Q5557059,Tomb_Raiding_World_and_Hazards,Tomb_Raiding_World_and_Hazards,WorldRules,"The grave-robbing world-building -- ancient tombs, supernatural hazards, and the lore governing them -- is inherited from the source."
7,Op_Ghost_Blows_Out_the_Light_to_Daomu_Biji_AffectiveModeShift,Transformation,Daomu Biji,https://www.wikidata.org/wiki/Q4861172,Ghost Blows Out the Light,https://www.wikidata.org/wiki/Q5557059,Hardcore_Adventure_Folklore,Suspense_and_Emotional_Bonds,ContentDomain,The dominant mode is transformed from the predecessor's hardcore exploration-and-folklore adventure toward serialized suspense centered on mystery and the emotional bonds between characters.
8,Op_Harry_Potter_to_The_Mortal_Instruments_CharacterArchetypeImitation,Imitation,The Mortal Instruments,https://www.wikidata.org/wiki/Q478151,Harry Potter,https://www.wikidata.org/wiki/Q8337,Chosen_One_and_Pairings,Chosen_One_and_Pairings,CharacterFunction,"Originating as Harry Potter fan fiction, it reuses the 'chosen one' archetype and specific character tensions established in the fan community as prototypes for its new cast."
8,Op_Harry_Potter_to_The_Mortal_Instruments_WorldRulesTransformation,Transformation,The Mortal Instruments,https://www.wikidata.org/wiki/Q478151,Harry Potter,https://www.wikidata.org/wiki/Q8337,Hidden_Magic_Boarding_School,Urban_Fantasy_Shadow_World,WorldRules,"The hidden-magic premise is relocated from a magical boarding school into an urban-fantasy shadow-world ontology, transforming the rules of the magic system."
8,Op_Harry_Potter_to_The_Mortal_Instruments_PairingInheritance,Inheritance,The Mortal Instruments,https://www.wikidata.org/wiki/Q478151,Harry Potter,https://www.wikidata.org/wiki/Q8337,BadBoy_ResilientGirl_Pairing,BadBoy_ResilientGirl_Pairing,RelationType,The central romantic pairing dynamic carried over from the fan community is inherited without transformation.
9,Op_The_Wonderful_Wizard_of_Oz_to_Wicked_VillainSubversion,Transformation,Wicked,https://www.wikidata.org/wiki/Q616439,The Wonderful Wizard of Oz,https://www.wikidata.org/wiki/Q130295,Wicked_Witch_as_Evil,Sympathetic_Elphaba,CharacterFunction,"The fixed villain is elevated to protagonist and given a sympathetic backstory, deconstructing the good-versus-evil binary and adding reflection on propaganda and prejudice."
9,Op_The_Wonderful_Wizard_of_Oz_to_Wicked_PerspectiveShift,Transformation,Wicked,https://www.wikidata.org/wiki/Q616439,The Wonderful Wizard of Oz,https://www.wikidata.org/wiki/Q130295,Dorothy_Focal,Elphaba_Focal,Focalization,The focal point shifts from the heroine Dorothy to the previously marginalized Wicked Witch of the West.
9,Op_The_Wonderful_Wizard_of_Oz_to_Wicked_CrossMediaTransformation,Transformation,Wicked,https://www.wikidata.org/wiki/Q616439,The Wonderful Wizard of Oz,https://www.wikidata.org/wiki/Q130295,Novel,Stage_Musical,MediumType,The source novel is adapted into a stage musical.
9,Op_The_Wonderful_Wizard_of_Oz_to_Wicked_WorldInheritance,Inheritance,Wicked,https://www.wikidata.org/wiki/Q616439,The Wonderful Wizard of Oz,https://www.wikidata.org/wiki/Q130295,Land_of_Oz_and_Cast,Land_of_Oz_and_Cast,WorldRules,"The Land of Oz, its inhabitants, and named characters are inherited from the source."
9,Op_The_Wonderful_Wizard_of_Oz_to_Wicked_CharacterImitation,Imitation,Wicked,https://www.wikidata.org/wiki/Q616439,The Wonderful Wizard of Oz,https://www.wikidata.org/wiki/Q130295,Witches_of_Oz,Witches_of_Oz,CharacterIdentity,The witches of Oz are reused as the retelling's central figures.
10,Op_Pride_and_Prejudice_to_Pride_and_Prejudice_and_Zombies_GenreHybridization,Transformation,Pride and Prejudice and Zombies,https://www.wikidata.org/wiki/Q2659311,Pride and Prejudice,https://www.wikidata.org/wiki/Q170583,Regency_Comedy_of_Manners,Romance_Horror_Mashup,ContentDomain,"Zombie-apocalypse horror is injected into the comedy of manners, producing a parodic cross-genre mash-up."
10,Op_Pride_and_Prejudice_to_Pride_and_Prejudice_and_Zombies_PlotAndProseInheritance,Inheritance,Pride and Prejudice and Zombies,https://www.wikidata.org/wiki/Q2659311,Pride and Prejudice,https://www.wikidata.org/wiki/Q170583,Marriage_Plot_and_Original_Prose,Marriage_Plot_and_Original_Prose,EventSequence,The plot skeleton and large stretches of the original prose and dialogue are inherited near-verbatim.
10,Op_Pride_and_Prejudice_to_Pride_and_Prejudice_and_Zombies_CharacterImitation,Imitation,Pride and Prejudice and Zombies,https://www.wikidata.org/wiki/Q2659311,Pride and Prejudice,https://www.wikidata.org/wiki/Q170583,Bennet_Family,Zombie_Slaying_Bennet_Family,CharacterIdentity,"The Bennet sisters and other named characters are reused, recast as trained zombie-slayers."
11,Op_The_Three_Body_Problem_to_ThreeBodyX_NarrativeGapExpansion,Transformation,ThreeBodyX,https://baike.baidu.com/item/三体X·观想之宙/7656426,The Three-Body Problem,https://www.wikidata.org/wiki/Q607112,Yun_Tianming_Blank_Storyline,Expanded_Cosmic_Sociology,EventSequence,"As an authorized continuation, it fills a storyline the parent text left blank (Yun Tianming's fate), expanding the original's cosmic-sociology concepts into new territory."
11,Op_The_Three_Body_Problem_to_ThreeBodyX_WorldInheritance,Inheritance,ThreeBodyX,https://baike.baidu.com/item/三体X·观想之宙/7656426,The Three-Body Problem,https://www.wikidata.org/wiki/Q607112,Three_Body_Cosmology,Three_Body_Cosmology,WorldRules,"The physics, cosmology, and world-building of the Three-Body universe are inherited directly from the source."
11,Op_The_Three_Body_Problem_to_ThreeBodyX_CharacterImitation,Imitation,ThreeBodyX,https://baike.baidu.com/item/三体X·观想之宙/7656426,The Three-Body Problem,https://www.wikidata.org/wiki/Q607112,Canon_Characters_Yun_Tianming,Canon_Characters_Yun_Tianming,CharacterIdentity,Canonical characters such as Yun Tianming are reused to suture the continuation to the parent text.
12,Op_Odyssey_to_Ulysses_SettingTransposition,Transformation,Ulysses,https://www.wikidata.org/wiki/Q6511,Odyssey,https://www.wikidata.org/wiki/Q35160,Ancient_Mediterranean_Decade,Single_Day_Modern_Dublin,Chronotope,A decade-spanning ancient epic is compressed onto a single ordinary day in modern Dublin.
12,Op_Odyssey_to_Ulysses_FocalizationShift,Transformation,Ulysses,https://www.wikidata.org/wiki/Q6511,Odyssey,https://www.wikidata.org/wiki/Q35160,External_Heroic_Narration,Interior_Stream_of_Consciousness,Focalization,Narration shifts from external heroic deeds to interior stream-of-consciousness.
12,Op_Odyssey_to_Ulysses_CrossMediaTransformation,Transformation,Ulysses,https://www.wikidata.org/wiki/Q6511,Odyssey,https://www.wikidata.org/wiki/Q35160,Epic_Poem,Modernist_Novel,MediumType,The classical epic poem is transformed into a modernist prose novel.
12,Op_Odyssey_to_Ulysses_StructuralInheritance,Inheritance,Ulysses,https://www.wikidata.org/wiki/Q6511,Odyssey,https://www.wikidata.org/wiki/Q35160,Homeric_Episode_Structure,Homeric_Episode_Structure,EventSequence,The episodic skeleton of the Homeric source is inherited as a metaphorical scaffold mapping each chapter to an episode.
12,Op_Odyssey_to_Ulysses_HeroImitation,Imitation,Ulysses,https://www.wikidata.org/wiki/Q6511,Odyssey,https://www.wikidata.org/wiki/Q35160,Hero_Odysseus,Everyman_Leopold_Bloom,CharacterIdentity,"The hero Odysseus is reimagined as the everyman Leopold Bloom, an imitative mapping of prototype onto modern figure."
13,Op_Romeo_and_Juliet_to_West_Side_Story_SettingTransposition,Transformation,West Side Story,https://www.wikidata.org/wiki/Q669010,Romeo and Juliet,https://www.wikidata.org/wiki/Q83186,Renaissance_Verona_Feud,1950s_New_York_Gang_Conflict,Chronotope,"The setting is transposed from Renaissance Verona to 1950s New York, recasting aristocratic feud as urban racial and gang conflict."
13,Op_Romeo_and_Juliet_to_West_Side_Story_CrossMediaTransformation,Transformation,West Side Story,https://www.wikidata.org/wiki/Q669010,Romeo and Juliet,https://www.wikidata.org/wiki/Q83186,Verse_Tragedy,Musical,MediumType,The verse tragedy is transformed into a song-and-dance musical.
13,Op_Romeo_and_Juliet_to_West_Side_Story_RelationTopologyInheritance,Inheritance,West Side Story,https://www.wikidata.org/wiki/Q669010,Romeo and Juliet,https://www.wikidata.org/wiki/Q83186,Lovers_Between_Feuding_Factions,Lovers_Between_Feuding_Factions,RelationTopology,"The core relational topology -- two lovers caught between two feuding factions, ending in tragedy -- is inherited from the source."
13,Op_Romeo_and_Juliet_to_West_Side_Story_LoversImitation,Imitation,West Side Story,https://www.wikidata.org/wiki/Q669010,Romeo and Juliet,https://www.wikidata.org/wiki/Q83186,Romeo_and_Juliet,Tony_and_Maria,CharacterIdentity,The lovers Romeo and Juliet are reused as prototypes for Tony and Maria.
14,Op_Emma_to_Clueless_SettingTransposition,Transformation,Clueless,https://www.wikidata.org/wiki/Q931165,Emma,https://www.wikidata.org/wiki/Q223880,Regency_Gentry,1990s_Beverly_Hills_High_School,Chronotope,The Regency gentry's matchmaking and class hierarchy is mapped onto a 1990s Beverly Hills high school.
14,Op_Emma_to_Clueless_CrossMediaTransformation,Transformation,Clueless,https://www.wikidata.org/wiki/Q931165,Emma,https://www.wikidata.org/wiki/Q223880,Novel,Film,MediumType,The source novel is adapted into a feature film.
14,Op_Emma_to_Clueless_PlotInheritance,Inheritance,Clueless,https://www.wikidata.org/wiki/Q931165,Emma,https://www.wikidata.org/wiki/Q223880,Matchmaker_Plot_and_Dynamics,Matchmaker_Plot_and_Dynamics,EventSequence,The matchmaking plot and its interpersonal power dynamics are inherited and shown to still operate in a modern microcosm.
14,Op_Emma_to_Clueless_HeroineImitation,Imitation,Clueless,https://www.wikidata.org/wiki/Q931165,Emma,https://www.wikidata.org/wiki/Q223880,Emma_Woodhouse,Cher_Horowitz,CharacterIdentity,The heroine Emma Woodhouse is reused as the prototype for Cher Horowitz.
15,Op_Dracula_to_Nosferatu_CrossMediaTransformation,Transformation,Nosferatu,https://www.wikidata.org/wiki/Q151895,Dracula,https://www.wikidata.org/wiki/Q41542,Epistolary_Novel,Silent_Expressionist_Film,MediumType,The epistolary novel is transformed into a silent expressionist film whose Gothic amplification shaped later vampire visual conventions.
15,Op_Dracula_to_Nosferatu_CharacterImitation,Imitation,Nosferatu,https://www.wikidata.org/wiki/Q151895,Dracula,https://www.wikidata.org/wiki/Q41542,Count_Dracula,Count_Orlok,CharacterIdentity,"Lacking authorization, the film files off the source's names -- renaming Dracula as Count Orlok -- while reusing the underlying vampire prototype."
15,Op_Dracula_to_Nosferatu_PlotInheritance,Inheritance,Nosferatu,https://www.wikidata.org/wiki/Q151895,Dracula,https://www.wikidata.org/wiki/Q41542,Vampire_Relocation_and_Plague,Vampire_Relocation_and_Plague,EventSequence,The core plot -- a vampire's relocation and the predatory plague he spreads -- is inherited from the source.
16,Op_Jin_Yong_Universe_to_The_Here_and_Now_Youth_SettingTransposition,Transformation,The Here and Now Youth,https://zh.wikipedia.org/wiki/此间的少年,Jin Yong universe,https://www.wikidata.org/wiki/Q180626,Wuxia_Jianghu,Modern_University_Campus,Chronotope,"The famous wuxia characters are extracted from the jianghu and relocated into a modern university campus, pioneering the 'characters-in-a-new-context' fan fiction model."
16,Op_Jin_Yong_Universe_to_The_Here_and_Now_Youth_ContentDomainShift,Transformation,The Here and Now Youth,https://zh.wikipedia.org/wiki/此间的少年,Jin Yong universe,https://www.wikidata.org/wiki/Q180626,Martial_Heroism,Campus_Youth_Life,ContentDomain,The content domain shifts from martial heroism to everyday campus youth and friendship.
16,Op_Jin_Yong_Universe_to_The_Here_and_Now_Youth_CharacterImitation,Imitation,The Here and Now Youth,https://zh.wikipedia.org/wiki/此间的少年,Jin Yong universe,https://www.wikidata.org/wiki/Q180626,Jin_Yong_Hero_Roster,Campus_Student_Roster,CharacterIdentity,"Jin Yong's characters (Guo Jing, Huang Rong, Linghu Chong, and others) are reused as prototypes for the campus cast."
16,Op_Jin_Yong_Universe_to_The_Here_and_Now_Youth_RelationInheritance,Inheritance,The Here and Now Youth,https://zh.wikipedia.org/wiki/此间的少年,Jin Yong universe,https://www.wikidata.org/wiki/Q180626,Character_Relationship_Web,Character_Relationship_Web,RelationTopology,The web of relationships among the original characters is transposed largely intact into the new setting.
17,Op_Investiture_of_the_Gods_to_KamigamiNoJonin_CrossMediaTransformation,Transformation,KamigamiNoJonin,https://ja.wikipedia.org/wiki/封神演義_(漫画),Investiture of the Gods,https://www.wikidata.org/wiki/Q1336310,Vernacular_Novel,Manga,MediumType,"The chapter-based mythological novel is reimagined as manga, a transformation influential enough to turn the classical Fengshen IP into a modern repository of fan-creative material."
17,Op_Investiture_of_the_Gods_to_KamigamiNoJonin_AlignmentReinterpretation,Transformation,KamigamiNoJonin,https://ja.wikipedia.org/wiki/封神演義_(漫画),Investiture of the Gods,https://www.wikidata.org/wiki/Q1336310,Fixed_Deity_Alignments,Reinterpreted_Roles_and_Motives,CharacterFunction,"The fixed moral alignments of the deities are reinterpreted, recasting roles and motivations across the ensemble."
17,Op_Investiture_of_the_Gods_to_KamigamiNoJonin_WorldInheritance,Inheritance,KamigamiNoJonin,https://ja.wikipedia.org/wiki/封神演義_(漫画),Investiture of the Gods,https://www.wikidata.org/wiki/Q1336310,Fengshen_Mythos,Fengshen_Mythos,WorldRules,The mythological cosmology of the source is inherited as the world framework.
17,Op_Investiture_of_the_Gods_to_KamigamiNoJonin_DeityImitation,Imitation,KamigamiNoJonin,https://ja.wikipedia.org/wiki/封神演義_(漫画),Investiture of the Gods,https://www.wikidata.org/wiki/Q1336310,Fengshen_Deity_Roster,Fengshen_Deity_Roster,CharacterIdentity,"The deities and immortals of the source, led by Taigong Wang, are reused as the manga's cast."
18,Op_Li_Bai_Poem_to_Jin_Yong_Novel_PlotDeviceReuse,Imitation,Jin Yong Novel Xiake Xing,https://www.wikidata.org/wiki/Q835716,Li Bai Poem Xiake Xing,https://zh.wikipedia.org/wiki/侠客行_(诗),Poem_Text,Martial_Arts_Manual_Puzzle,EventSequence,"The verses of Li Bai's poem are reused as the central plot device: martial masters study the text hoping to unlock a legendary skill, yet only an illiterate protagonist grasps its true essence."
18,Op_Li_Bai_Poem_to_Jin_Yong_Novel_CrossMediaExpansion,Transformation,Jin Yong Novel Xiake Xing,https://www.wikidata.org/wiki/Q835716,Li Bai Poem Xiake Xing,https://zh.wikipedia.org/wiki/侠客行_(诗),Classical_Poem,Full_Length_Wuxia_Novel,MediumType,A short classical poem is expanded across media into a full-length wuxia novel that interrogates what it means to be truly chivalrous.
18,Op_Li_Bai_Poem_to_Jin_Yong_Novel_ChivalricSpiritInheritance,Inheritance,Jin Yong Novel Xiake Xing,https://www.wikidata.org/wiki/Q835716,Li Bai Poem Xiake Xing,https://zh.wikipedia.org/wiki/侠客行_(诗),Chivalric_Ethos,Chivalric_Ethos,ContentDomain,The chivalrous spirit and ethos defined by the source poem are inherited -- a relationship of spiritual continuity across literary forms.
